GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Gram Panchayet,Balipara,51.39589958,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,2020,0.08,0.1,1.49,0.05,1.72
Gram Panchayet,Nathurampara,404.8198449,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,2020,7.77,9.77,18.01,7.1,42.65
Village Council,Herbatali,906.8277182,South Tripura,Belonia,Satchand,Betaga,Harbatali,2020,37.18,43.77,52.05,42.26,175.26
Village Council,Bhangamura,1082.582446,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,2020,92.39,99.38,88.03,111.59,391.39
Village Council,Mandalipara,376.4393268,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,2020,15.83,17.81,27.01,16.79,77.44
Gram Panchayet,Srinagar,484.9227928,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,2020,7.1,5.1,15.27,4.78,32.25
Village Council,Dulakchari,473.8041812,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,2020,37.98,44.13,42.41,46.85,171.37
Gram Panchayet,Pongbari Kanalbari,440.919005,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,2020,3.97,2.6,16.28,0.89,23.74
Village Council,Khumchari,571.4346031,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,2020,44.99,53.97,39.99,48.53,187.48
Village Council,Uttar Betaga,909.2389351,South Tripura,Belonia,Satchand,Betaga,Betaga,2020,37.41,41.28,69.87,35.44,184
Village Council,South Baisnabpur,783.786813,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2020,17.9,33.65,60.33,29.95,141.83
Village Council,Joy Sing Bari,1079.854746,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,2020,88.7,110.67,91.88,126.43,417.68
Village Council,Kaladhepa,371.5142787,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,2020,9.01,5.78,14.02,5.48,34.29
Village Council,Dakshin Bijoypur,606.2007839,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2020,20.94,36.09,45.09,40.2,142.32
Village Council,Gagrabosti,720.7816878,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,2020,29.49,51.33,41.08,52.03,173.93
Gram Panchayet,Madhupara,625.8155324,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,2020,79.87,83.15,31.46,121.73,316.21
