Year,P_ID,Scheme_Typ,Scheme,Plantation_Area_Ha,Mode,Mode_Name,Locality,Type_of_PI,Type_of_Su,Beat,District,Subdivision,Range,User_Name,Designatio,Type_of_Pl
2020-21,KGT20096,Single,SCATFORM,10.1641,JFMC,Bru Kami JFMC,,AR,Block,Andherchhara,Unakoti,Kumarghat,Pecharthal,"Sri Sukanta Sarkar, Fr",Beat Officer,
2020-21,KGT20097,Single,SCATFORM,29.4108,JFMC,Moracherra JFMC,,ANR,Block,Andherchhara,Unakoti,Kumarghat,Pecharthal,"Sri Sukanta Sarkar, Fr",Beat Officer,
2020-21,KGT20098,Single,SCATFORM,10.3443,JFMC,Moracherra JFMC,,AR,Block,Andherchhara,Unakoti,Kumarghat,Pecharthal,"Sri Sukanta Sarkar, Fr",Beat Officer,
2020-21,KGT20106,Single,SCATFORM,10.2315,JFMC,Mathura Para,,AR,Block,Balanalchhara,Unakoti,Kumarghat,Machmara,"Sri Pandit Ril Halam, Fr",Beat Officer,
2020-21,KGT20103,Single,SCATFORM,24.4845,JFMC,Umanjoy Para,Nil,ANR,Block,Balanalchhara,Unakoti,Kumarghat,Machmara,"Sri Pandit Ril Halam, Fr",Beat Officer,
2020-21,KGT20105,Single,SCATFORM,9.67034,JFMC,Mathura Para,Nil,ANR,Block,Balanalchhara,Unakoti,Kumarghat,Machmara,"Sri Pandit Ril Halam, Fr",Beat Officer,
2020-21,KGT20127,Single,SCATFORM,11.5561,JFMC,Nil,,AR,Block,Demdum,Unakoti,Kumarghat,Kumarghat,"Sri Abhinash Nath, Fr",Beat Officer,
2020-21,KGT20128,Single,SCATFORM,5.67133,JFMC,Nil,,ANR,Block,Demdum,Unakoti,Kumarghat,Kumarghat,"Sri Abhinash Nath, Fr",Beat Officer,
2020-21,KGT20129,Single,SCATFORM,6.75438,JFMC,Nil,,AR,Block,Demdum,Unakoti,Kumarghat,Kumarghat,"Sri Abhinash Nath, Fr",Beat Officer,
2020-21,KGT20104,Single,SCATFORM,21.874,JFMC,Nil,Nil,AR,Block,Balanalchhara,Unakoti,Kumarghat,Machmara,"Sri Pandit Ril Halam, Fr",Beat Officer,
