GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Gram Panchayet,Balipara,51.3958995764,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,2020,0.0,0.08,0.1,1.49,0.05,12.35,0.4,0.58,3.1,1.71,7.06,13.06,7.22,4.3,51.5
Gram Panchayet,Nathurampara,404.819844884,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,2020,0.0,7.77,9.77,18.01,7.1,83.41,12.06,16.52,28.09,44.38,38.45,76.44,37.42,25.39,404.81
Village Council,Herbatali,906.827718162,South Tripura,Belonia,Satchand,Betaga,Harbatali,2020,0.0,37.18,43.77,52.05,42.26,109.77,69.09,66.18,78.2,113.69,53.7,85.02,67.3,88.72,906.93
Village Council,Bhangamura,1082.58244613,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,2020,0.0,92.39,99.38,88.03,111.59,58.95,174.76,115.91,83.07,130.57,27.75,36.25,32.4,31.75,1082.8
Village Council,Mandalipara,376.43932684,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,2020,0.0,15.83,17.81,27.01,16.79,41.86,31.58,33.89,53.48,46.0,23.85,27.74,28.46,12.03,376.33
Gram Panchayet,Srinagar,484.922792835,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,2020,0.0,7.1,5.1,15.27,4.78,78.43,10.15,14.6,89.06,20.95,91.56,82.04,44.75,21.22,485.01
Village Council,Dulakchari,473.804181204,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,2020,0.0,37.98,44.13,42.41,46.85,18.93,88.42,53.5,44.23,61.15,14.24,11.07,6.57,3.99,473.47
Gram Panchayet,Pongbari Kanalbari,440.919005037,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,2020,0.0,3.97,2.6,16.28,0.89,82.86,3.91,8.45,55.88,20.47,89.14,87.74,41.37,27.36,440.92
Village Council,Khumchari,571.43460311,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,2020,0.0,44.99,53.97,39.99,48.53,38.55,53.2,54.42,37.1,87.56,35.42,32.49,35.35,9.92,571.49
Village Council,Uttar Betaga,909.238935141,South Tripura,Belonia,Satchand,Betaga,Betaga,2020,0.0,37.41,41.28,69.87,35.44,85.56,98.88,82.98,167.73,133.44,45.66,55.68,42.81,12.68,909.42
Village Council,South Baisnabpur,783.786813016,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2020,0.0,17.9,33.65,60.33,29.95,78.01,126.5,79.63,80.59,111.51,44.47,57.11,36.07,28.13,783.85
Village Council,Joy Sing Bari,1079.85474589,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,2020,0.0,88.7,110.67,91.88,126.43,31.8,210.7,131.86,87.41,142.71,24.93,13.37,11.15,8.49,1080.1
Village Council,Kaladhepa,371.514278694,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,2020,0.0,9.01,5.78,14.02,5.48,31.42,10.75,16.32,134.78,19.62,33.33,50.91,29.66,10.29,371.37
Village Council,Dakshin Bijoypur,606.200783885,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2020,0.0,20.94,36.09,45.09,40.2,42.59,118.6,81.22,71.18,79.27,23.76,23.38,16.06,7.81,606.19
Village Council,Gagrabosti,720.781687775,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,2020,0.0,29.49,51.33,41.08,52.03,105.47,82.87,53.68,29.59,83.32,32.54,69.59,45.7,44.23,720.92
Gram Panchayet,Madhupara,625.815532408,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,2020,0.0,79.87,83.15,31.46,121.73,18.44,52.25,72.9,29.22,71.97,23.4,22.34,14.04,5.19,625.96
Village Council,Phulchari,186.967252257,South Tripura,Sabroom,Satchand,Manubazar,North Kaladhepa,2020,0.0,2.34,1.81,8.76,1.15,18.25,6.7,8.38,62.34,14.03,17.58,26.98,14.12,4.69,187.13
Village Council,Ramchanpara,2353.09572343,South Tripura,Sabroom,Srinagar,Shankartilla,East Tekka Tulshi R.F,2020,0.0,174.02,204.43,181.51,221.68,109.22,360.06,275.99,256.0,314.88,84.21,80.08,62.76,27.96,2352.8
Village Council,Salka,1057.32737303,South Tripura,Sabroom,Bankul,Magroom,Magroom,2020,0.01,74.05,150.41,67.12,168.76,61.33,176.25,93.98,25.77,119.46,23.46,42.15,25.56,29.16,1057.47
