GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Gram Panchayet,Balipara,51.3958995764,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,13.33,15.47,5.81,2.41,2020,37.02
Gram Panchayet,Nathurampara,404.819844884,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,60.25,88.05,65.68,59.72,2020,273.7
Village Council,Herbatali,906.827718162,South Tripura,Belonia,Satchand,Betaga,Harbatali,82.07,155.1,176.21,159.08,2020,572.46
Village Council,Bhangamura,1082.58244613,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,22.38,92.93,203.7,288.17,2020,607.18
Village Council,Mandalipara,376.43932684,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,24.4,79.2,83.12,65.23,2020,251.95
Gram Panchayet,Srinagar,484.922792835,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,93.95,105.42,98.21,79.17,2020,376.75
Village Council,Dulakchari,473.804181204,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,5.18,33.98,98.48,128.58,2020,266.22
Gram Panchayet,Pongbari Kanalbari,440.919005037,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,90.38,113.84,85.36,54.85,2020,344.43
Village Council,Khumchari,571.43460311,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,15.94,86.57,105.04,169.34,2020,376.89
Village Council,Uttar Betaga,909.238935141,South Tripura,Belonia,Satchand,Betaga,Betaga,34.19,161.12,247.2,164.17,2020,606.68
Village Council,South Baisnabpur,783.786813016,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,45.08,161.41,156.24,99.05,2020,461.78
Village Council,Joy Sing Bari,1079.85474589,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,5.44,54.06,203.96,315.19,2020,578.65
Village Council,Kaladhepa,371.514278694,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,39.72,103.34,109.28,55.08,2020,307.42
Village Council,Dakshin Bijoypur,606.200783885,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,17.86,101.91,108.38,95.3,2020,323.45
Village Council,Gagrabosti,720.781687775,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,73.46,124.7,108.69,102.29,2020,409.14
Gram Panchayet,Madhupara,625.815532408,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,5.98,44.62,57.96,251.73,2020,360.29
Village Council,Phulchari,186.967252257,South Tripura,Sabroom,Satchand,Manubazar,North Kaladhepa,17.17,59.39,58.48,17.56,2020,152.6
Village Council,Ramchanpara,2353.09572343,South Tripura,Sabroom,Srinagar,Shankartilla,East Tekka Tulshi R.F,42.02,245.84,484.3,614.52,2020,1386.68
Village Council,Salka,1057.32737303,South Tripura,Sabroom,Bankul,Magroom,Magroom,31.37,102.27,148.34,269.91,2020,551.89
Village Council,Mawchang,1020.3075696,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,33.38,98.25,144.4,239.32,2020,515.35
Gram Panchayet,Joypur,885.80361316,South Tripura,Belonia,Hrishyamukh,Nalua,Krishnanagar,200.15,226.66,96.57,109.4,2020,632.78
Village Council,Naya Bari,739.9747893,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,2.35,28.85,77.66,296.12,2020,404.98
Village Council,Lama Kahum,1077.67320808,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,3.76,33.29,103.05,464.42,2020,604.52
