GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Gram Panchayet,Balipara,51.3958995764,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,2020,13.33,15.47,5.81,2.41,37.02
Gram Panchayet,Nathurampara,404.819844884,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,2020,60.25,88.05,65.68,59.72,273.7
Village Council,Herbatali,906.827718162,South Tripura,Belonia,Satchand,Betaga,Harbatali,2020,82.07,155.1,176.21,159.08,572.46
Village Council,Bhangamura,1082.58244613,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,2020,22.38,92.93,203.7,288.17,607.18
Village Council,Mandalipara,376.43932684,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,2020,24.4,79.2,83.12,65.23,251.95
Gram Panchayet,Srinagar,484.922792835,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,2020,93.95,105.42,98.21,79.17,376.75
Village Council,Dulakchari,473.804181204,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,2020,5.18,33.98,98.48,128.58,266.22
Gram Panchayet,Pongbari Kanalbari,440.919005037,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,2020,90.38,113.84,85.36,54.85,344.43
Village Council,Khumchari,571.43460311,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,2020,15.94,86.57,105.04,169.34,376.89
Village Council,Uttar Betaga,909.238935141,South Tripura,Belonia,Satchand,Betaga,Betaga,2020,34.19,161.12,247.2,164.17,606.68
Village Council,South Baisnabpur,783.786813016,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2020,45.08,161.41,156.24,99.05,461.78
Village Council,Joy Sing Bari,1079.85474589,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,2020,5.44,54.06,203.96,315.19,578.65
Village Council,Kaladhepa,371.514278694,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,2020,39.72,103.34,109.28,55.08,307.42
Village Council,Dakshin Bijoypur,606.200783885,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2020,17.86,101.91,108.38,95.3,323.45
Village Council,Gagrabosti,720.781687775,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,2020,73.46,124.7,108.69,102.29,409.14
Gram Panchayet,Madhupara,625.815532408,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,2020,5.98,44.62,57.96,251.73,360.29
Village Council,Phulchari,186.967252257,South Tripura,Sabroom,Satchand,Manubazar,North Kaladhepa,2020,17.17,59.39,58.48,17.56,152.6
Village Council,Ramchanpara,2353.09572343,South Tripura,Sabroom,Srinagar,Shankartilla,East Tekka Tulshi R.F,2020,42.02,245.84,484.3,614.52,1386.68
Village Council,Salka,1057.32737303,South Tripura,Sabroom,Bankul,Magroom,Magroom,2020,31.37,102.27,148.34,269.91,551.89
Village Council,Mawchang,1020.3075696,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,2020,33.38,98.25,144.4,239.32,515.35
Gram Panchayet,Joypur,885.80361316,South Tripura,Belonia,Hrishyamukh,Nalua,Krishnanagar,2020,200.15,226.66,96.57,109.4,632.78
Village Council,Naya Bari,739.9747893,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,2020,2.35,28.85,77.66,296.12,404.98
Village Council,Lama Kahum,1077.67320808,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,2020,3.76,33.29,103.05,464.42,604.52
Gram Panchayet,Krishnanagar,681.827080141,South Tripura,Belonia,Hrishyamukh,Nalua,Haripur,2020,131.55,182.27,84.27,119.22,517.31
Village Council,Manoranjanpara,776.811393393,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,2020,10.9,59.35,117.93,209.06,397.24
Village Council,Brinda Kishore Roaja Para,1544.6498855,South Tripura,Sabroom,Bankul,Bankul,Bishnupur,2020,55.06,187.26,251.5,322.34,816.16
Gram Panchayet,Malambari,941.44723087,South Tripura,Belonia,Hrishyamukh,Malambari,Hrishyamukh,2020,181.38,246.97,167.33,146.44,742.12
Village Council,Ananda Kumar,413.728472093,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,2020,20.47,115.33,115.67,97.28,348.75
Village Council,Chota Sakbari,347.640035295,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,2020,26.67,65.54,83.04,92.64,267.89
Village Council,Maa Bankumai,1965.79397961,South Tripura,Belonia,Hrishyamukh,Hrishyamukh,Dhananjoy Nagar,2020,14.15,77.29,190.81,828.98,1111.23
Village Council,Chati,608.126203007,South Tripura,Sabroom,Satchand,Bhuratali,North Taichima,2020,33.09,112.66,158.37,120.83,424.95
Gram Panchayet,Bhatubari,1539.28003877,South Tripura,Belonia,Hrishyamukh,Motai,Debipur,2020,229.0,373.21,373.25,302.01,1277.47
Village Council,Khakaham,709.415068979,South Tripura,Belonia,Kakulia,Manirambari,Manirampur,2020,25.49,108.32,135.49,222.99,492.29
Village Council,South Hichachara,1035.42012358,South Tripura,Santirbazar,Kakulia,Abhanga,Ramraibari,2020,75.95,236.38,257.47,242.26,812.06
Village Council,Thansha,687.607953157,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,2020,7.23,38.1,65.91,299.31,410.55
Village Council,Sachirambari,1705.56944018,South Tripura,Santirbazar,Kakulia,Abhanga,South Hichacherra,2020,98.16,540.29,357.85,265.84,1262.14
Village Council,Hakchal,775.586408288,South Tripura,Santirbazar,Kakulia,Srikantabari,Abangchara,2020,22.88,133.26,137.84,193.03,487.01
Gram Panchayet,Madhya Pilak,758.484846032,South Tripura,Santirbazar,Kakulia,Abhanga,South Jolaibari,2020,48.36,174.7,190.35,164.08,577.49
Village Council,Mohininagar,795.769978331,South Tripura,Belonia,Hrishyamukh,Motai,Mohini Nagar,2020,7.64,54.55,80.13,341.16,483.48
Gram Panchayet,Joykatpur,733.815354216,South Tripura,Belonia,Hrishyamukh,Motai,Baspadua,2020,93.87,171.77,189.91,139.8,595.35
Village Council,Khorangbaksha,1148.00517798,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,2020,159.3,227.47,232.42,247.92,867.11
Village Council,Pohar,1602.85924483,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,2020,7.92,99.1,244.27,399.35,750.64
Gram Panchayet,Kathalia,1385.90510724,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,2020,240.98,391.84,282.41,299.51,1214.74
Village Council,Ambuchai,592.837673005,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,2020,58.22,114.76,114.93,147.04,434.95
Gram Panchayet,Khunati,1442.23013254,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,2020,212.45,288.73,301.85,327.69,1130.72
Gram Panchayet,Kasta Kumar Para,1104.2153466,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,2020,50.91,181.45,223.8,301.3,757.46
Gram Panchayet,Sakyamuni,752.264378597,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,2020,66.29,226.73,234.02,146.15,673.19
Gram Panchayet,Gaburchara,341.116399955,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,2020,81.66,88.58,59.47,44.77,274.48
Village Council,Sanghati,893.876368877,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,2020,73.6,177.02,170.77,250.66,672.05
Village Council,Khumthaima,615.063500273,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2020,10.65,41.26,70.61,226.58,349.1
Village Council,Twisawatalok,862.388207809,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2020,30.1,104.63,154.36,278.77,567.86
Village Council,Vaktiram,422.330906142,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,2020,8.81,34.25,66.35,163.28,272.69
Gram Panchayet,Swrangdi,1433.46054891,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,2020,204.51,418.3,300.3,263.35,1186.46
Village Council,Yakalam,1633.77252567,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2020,44.61,143.9,168.69,634.68,991.88
,Raikalam,247.275454696,South Tripura,Santirbazar,Bagafa,Bagafa,,2020,4.34,14.03,24.55,91.54,134.46
Village Council,Laxmicherra,1842.4554739,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2020,7.05,67.46,200.65,660.51,935.67
Village Council,Pragati,402.764040818,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,2020,31.85,64.59,116.17,139.97,352.58
Village Council,Rabithakur,658.744148845,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,2020,119.13,197.56,161.85,63.09,541.63
Village Council,Agragati,1325.87281894,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,2020,14.87,78.7,113.72,571.22,778.51
Gram Panchayet,Maitry,509.009811421,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,2020,81.64,149.33,130.31,82.34,443.62
Village Council,Twisawaklou,761.369388166,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,2020,94.11,170.14,198.72,144.01,606.98
Village Council,Taj,888.612506686,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2020,72.94,186.93,229.35,253.72,742.94
Village Council,Twichoma,408.782866957,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,2020,18.74,96.34,82.8,130.67,328.55
Village Council,Paribartan,1214.43749487,South Tripura,Belonia,Bagafa,Bagafa,Debipur,2020,1.76,27.69,71.42,558.48,659.35
Gram Panchayet,Sanghati,999.114289477,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,2020,152.08,293.56,268.37,126.53,840.54
Gram Panchayet,Banakalayan,560.090779087,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,2020,99.24,266.27,115.83,33.99,515.33
Village Council,Kokbang Motha,438.549315413,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,2020,13.89,37.27,48.32,186.42,285.9
Village Council,Valasa,776.451286667,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2020,60.4,156.51,199.6,208.76,625.27
Gram Panchayet,MBBKM,502.520168767,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2020,136.55,222.89,66.24,29.01,454.69
Village Council,Patichari,1377.00627167,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2020,146.7,349.44,432.53,261.58,1190.25
